Date of sale (dd-m-yyyy),Address,Location,Area (m^2),No. of rooms,Area of the plot (m^2),Closing price (kr)
23-Oct-2015,Kareby Kyrkväg 340,"Kareby,Kungälvskommun",183,5,1010,2950000
22-Oct-2015,Stora Ryr 280,"Bohuslän,Kungälvskommun",96+15,3,2254,1950000
20-Oct-2015,Fontinvägen 22,"Kungälv-Centrum,Kungälvskommun",130+140,8,1034,5900000
19-Oct-2015,Gamla Trollhättevägen 22,"Kungälv,Kungälvskommun",65+60,2,1246,2000000
18-Oct-2015,Settungsvägen 36,"KungälvUllstorp,Kungälvskommun",140+20,6,362,4800000
16-Oct-2015,Bergåsvägen 21,"YtterbyTunge,Kungälvskommun",130+70,6,972,3570000
14-Oct-2015,Kämpegatan 5,"KungälvCentralt,Kungälvskommun",107+105,6,842,3850000
14-Oct-2015,Häljeröd 330,"Kungälv,Kungälvskommun",145+5,6,6686,4055500
14-Oct-2015,Mjölnarvägen 14,"Romelanda,Kungälvskommun",124+85,5,820,3200000
13-Oct-2015,Hjälmgatan 9,"Ytterby,Kungälvskommun",96+6,3,467,3225000
12-Oct-2015,Rävo 130,"Hålta,Kungälvskommun",114+114,5,5500,4350000
8-Oct-2015,Veneröd 540,"Hålta,Kungälvskommun",250,7,1982,4065000
8-Oct-2015,Ulvesund 110,"Ytterby,Kungälvskommun",153+50,4,3024,3200000
7-Oct-2015,Helgonagatan 50,"Munkegärde,Kungälvskommun",117,4,1675,2416667
7-Oct-2015,Bärnstensvägen 11,"Kode,Kungälvskommun",98+75,6,1005,3195000
28-Sep-2015,Rosenstensvägen 11,"Kode,Kungälvskommun",140+15,5,562,3350000
26-Sep-2015,Gårdskiftegatan 13,"Ytterby-Tega,Kungälvskommun",140,5,1034,3995000
26-Sep-2015,Storskiftegatan 96,"YtterbyTegaKungälv,Kungälvskommun",140,5,810,4050000
24-Sep-2015,Ingetorp 130,"Kode,Kungälvskommun",120+60,5,1874,3050000
22-Sep-2015,Solvagnsgatan 42,"Ytterby-Stället,Kungälvskommun",138+12,5,401,4325000
21-Sep-2015,Settungsvägen 42,"Ullstorp,Kungälvskommun",149,7,620,4900000
17-Sep-2015,Häljeröd 250,"Romelanda,Kungälvskommun",108,6,7088,2995000
17-Sep-2015,Tofta 330,"Tofta,Kungälvskommun",110,5,2927,6700000
16-Sep-2015,Stämmdalen 120,"Lycke,Kungälvskommun",96+66,5,1104,1895000
13-Sep-2015,Lökebergsvägen 27,"KungälvLökeberg,Kungälvskommun",120+45,5,1198,3840000
11-Sep-2015,Brunnefjäll 180,"KärnaVedhall,Kungälvskommun",143+60,5,1887,3470000
10-Sep-2015,Häljeröd 270,"Romelanda-Diseröd,Kungälvskommun",111+88,6,3100,2495000
10-Sep-2015,Buderöd 160,"Kode,Kungälvskommun",118+84,5,22600,4075000
9-Sep-2015,Tegskiftegatan 48,"YtterbyTegaKungälv,Kungälvskommun",157+102,9,1083,4950000
3-Sep-2015,Broberg 130,"Bohuslän,Kungälvskommun",130+37,6,2400,3425000
2-Sep-2015,Sköldgatan 4,"Ytterby,Kungälvskommun",95+8,3,399,3075000
31-Aug-2015,Korpedalsvägen 10,"Aröd,Kungälvskommun","73,5",3,1099,1850000
31-Aug-2015,Käckås 110,"Ytterby,Kungälvskommun",98+87,5,11226,4400000
28-Aug-2015,Diserödsvägen 7,"KungälvRomelandaDiseröd,Kungälvskommun",127+52,5,737,2830000
26-Aug-2015,Västra Strandgatan 17,"Kungälv-Centrum,Kungälvskommun",130+80,5,690,3575000
13-Aug-2015,Lövön 410,"Lövön-Kungälv/Marstrand,Kungälvskommun",93,3,2467,3050000
30-Jul-2015,Toftebergsvägen 2,"Tjuvkil,Kungälvskommun",82+6,4,1085,1550000
24-Jul-2015,Truskärsvägen 7,"Tjuvkil,Kungälvskommun",181+83,6,3390,4350000
10-Jul-2015,Lundby 450,"Kungälv-Kareby,Kungälvskommun",125+142,5,2522,3525000
9-Jul-2015,Solskiftegatan 63,"ÖvreTega-Ytterby,Kungälvskommun",171+31,6,810,4300000
18-Jun-2023,Gunneröd 506,"Kärna,Kungälvskommun",138,6,1215,4930000
18-Jun-2023,Oxelvägen 96,"Diseröd,Kungälvskommun",139,5,390,4200000
16-Jun-2023,Solberg 420,"Romelanda,Kungälvskommun",90+65,3,2968,2350000
15-Jun-2023,Kovikshamn 160,"Kovikshamn,Kungälvskommun",124+8,4,1400,4300000
14-Jun-2023,Blankas gata 3,"Kungälv-Centralt,Kungälvskommun",130+152,7,980,6350000
14-Jun-2023,Ljungvägen 20,"Kode,Kungälvskommun",34,2,304,2370000
14-Jun-2023,Rubinvägen 27,"Kode,Kungälvskommun",195,6,991,3500000
8-Jun-2023,Ulvesund 419,"Kungälv-Ulvesund,Kungälvskommun",65,2,688,3000000
8-Jun-2023,Erslycke 140,"Lycke,Kungälvskommun",162+24,5,1820,5700000
3-Jun-2023,Önneröd 145,"Kärna,Kungälvskommun",110,4,1030,4675000
2-Jun-2023,Ställets bygata 156,"Ytterby,Kungälvskommun",146,7,742,6495000
1-Jun-2023,Hallebäcksvägen 24,"Timmervik,Kungälvskommun",105,4,1337,5250000
1-Jun-2023,Bergkristallvägen 8,"Kode,Kungälvskommun",127+8,4,518,4795000
1-Jun-2023,Hammarhöjden 670,"Bohuslän,Kungälvskommun",100+47,NaN,1090,3200000
1-Jun-2023,Sålådevägen 554,"Ullstorp,Kungälvskommun",173,6,800,8600000
31-May-2023,Hjälmgatan 7,"Ytterby,Kungälvskommun",96,3,463,4000000
31-May-2023,Strömgatan 9,"Ytterby,Kungälvskommun",127,5,890,6295000
25-May-2023,Krappvägen 570,"Ullstorp,Kungälvskommun",230+25,8,788,9500000
19-May-2023,Norrmannebo 650,"Bohuslän,Kungälvskommun",143+50,6,20500,5800000
18-May-2023,Ängsgatan  23,"Centralt,Kungälvskommun",91+87,5,743,4625000
18-May-2023,Stenåldersgatan 14,"Stället,Kungälvskommun",107,5,452,5050000
17-May-2023,Spaghamnsvägen 7,"Tjuvkil,Kungälvskommun",110,5,1664,5000000
17-May-2023,Östergårdsgatan 3,"Ytterby,Kungälvskommun",215+62,7,1020,4860000
16-May-2023,Romelanda nedergård 160,"Romelanda,Kungälvskommun",139,5,1196,2625000
15-May-2023,Toreby 240,"Kärna,Kungälvskommun",89+89,5,1245,3405000
12-May-2023,Murhammarvägen 12,"Kungälv-Kareby,Kungälvskommun",174+17,6,700,5200000
8-May-2023,Kämpegatan 4,"KungälvCentrum,Kungälvskommun",128+43,5,1160,5000000
7-May-2023,Vesslegatan 14,"Olseröd,Kungälvskommun",159+17,5,349,5550000
4-May-2023,Bastubäcksvägen 26,"Kode,Kungälvskommun",44+36,4,1199,1775000
2-May-2023,Karantänsgatan 9,"KungälvCentrum,Kungälvskommun",130,6,659,4500000
30-Apr-2023,Vävra 297,"Hålta,Kungälvskommun",161+55,5,1587,5300000
29-Apr-2023,Lerskärsvägen 8,"Tjuvkil,Kungälvskommun",84+50,4,1458,4500000
26-Apr-2023,Brunnefjällsvägen 21,"Kärna,Kungälvskommun",82+13,3,1741,3500000
26-Apr-2023,Klockarvägen 7,"Kungälv-Romelanda,Kungälvskommun",162,6,706,4050000
25-Apr-2023,Sålådevägen 546,"Kungälv-Ullstorp,Kungälvskommun",145+19,5,804,6700000
21-Apr-2023,Östra Trädal 320,"Ytterby,Kungälvskommun",130+50,6,8185,7495000
20-Apr-2023,Lundby 565,"Kareby,Kungälvskommun",101,3,1935,4390000
18-Apr-2023,Kuskalundsvägen 39,"Kungälv-Hålta,Kungälvskommun",70+13,3,1745,2600000
18-Apr-2023,Häradsvägen 6,"Ytterby,Kungälvskommun",137,7,468,4250000
18-Apr-2023,Kareby kyrkväg 149,"Kareby,Kungälvskommun",137,5,1951,4300000
15-Apr-2023,Kuskalundsvägen 32,"Hålta,Kungälvskommun",79,3,1494,3050000
15-Apr-2023,Munkegärdegatan 243,"Munkegärde/Ulvegärde,Kungälvskommun",133,6,817,5150000
14-Apr-2023,Backsippegatan 5,"Ytterby,Kungälvskommun",115,5,598,4200000
10-Apr-2023,Stora Risby 550,"Hålta,Kungälvskommun",100+86,3,1640,3850000
3-Apr-2023,Västra gatan 28,"Kungälv-Centralt,Kungälvskommun",155+32,6,600,5250000
30-Mar-2023,Östergårdsgatan 23,"Ytterby,Kungälvskommun",180+48,6,840,5225000
27-Mar-2023,Hermansby 165,"Kärna,Kungälvskommun",134,4,2005,4900000
24-Mar-2023,Lefstad 155,"Kärna,Kungälvskommun",145,6,1545,5700000
24-Mar-2023,Kullegatan 12,"Centrum,Kungälvskommun",190+163,7,660,6600000
23-Mar-2023,Bräcke 105,"Kungälv-Kärna,Kungälvskommun",204,6,1906,5295000
1-Apr-2019,Brunnefjällsvägen  18,"Kärna,Kungälvskommun",83,3,1196,3000000
1-Apr-2019,Dannemarksgatan 4,"Tega-Ytterby,Kungälvskommun",112+151,6,990,4710000
31-Mar-2019,Alekärr 110,"Diseröd,Kungälvskommun",118+149,6,1611,3500000
29-Mar-2019,Duvesjön 460,"Duvesjön,Kungälvskommun",64,3,1986,2260000
25-Mar-2019,Solvagnsgatan 22,"Ytterby-Stället,Kungälvskommun",139+12,5,370,5000000
25-Mar-2019,Lagvägen 27,"Ytterby,Kungälvskommun",110+38,6,692,3810000
21-Mar-2019,Grannebydal 260,"Hålta,Kungälvskommun",120,4,1574,2300000
17-Mar-2019,Solvagnsgatan 32,"Ytterby,Kungälvskommun",138,5,385,5200000
15-Mar-2019,Hammar 510,"Kode,Kungälvskommun",143+140,NaN,3324,3900000
13-Mar-2019,Skolstigen 2,"Kungälv,Kungälvskommun",150+20,7,1080,4570000
6-Mar-2019,Munkegärdegatan 99,"Blodriskan,Kungälvskommun",134+25,5,345,4350000
4-Mar-2019,Kyrkeby 220,"Harestad,Kungälvskommun",109,4,6999,4750000
1-Mar-2019,Kulperödsvägen 35,"Bohuslän,Kungälvskommun",143,5,3089,4050000
28-Feb-2019,Tjäderstigen  4,"Kungälv-Centralt,Kungälvskommun",126,4,362,4285000
28-Feb-2019,Flateby 450,"Harestad,Kungälvskommun",163+118,8,1351,3630000
27-Feb-2019,Bergkristallvägen 18,"Kode,Kungälvskommun",127,6,608,4400000
27-Feb-2019,Prästvägen 710,"Romelanda,Kungälvskommun",166+20,8,1034,4300000
24-Feb-2019,Granndalen 14,"Bohuslän,Kungälvskommun",70+54,4,1229,2995000
22-Feb-2019,Ranneberg  154,"Kärna,Kungälvskommun",165,4,2381,5200000
21-Feb-2019,Kvarnvägen 22,"Kode,Kungälvskommun",68+68,5,1318,3570000
18-Feb-2019,Lingonvägen 43,"Centralt,Kungälvskommun",126,5,383,4050000
15-Feb-2019,Hamngatan 11,"Centralt,Kungälvskommun",84+94,3,636,4890000
14-Feb-2019,Rönnvägen  22,"Romelanda,Kungälvskommun",108+70,5,823,3375000
14-Feb-2019,Lyckevägen  9,"Kärna,Kungälvskommun",190+150,9,2284,4300000
14-Feb-2019,Ekvägen 12,"Ytterby,Kungälvskommun",125+83,6,770,4000000
13-Feb-2019,Rostock 362,"Bohuslän,Kungälvskommun","131,5",5,1070,4650000
12-Feb-2019,Tjuvkil 460,"Tjuvkil,Kungälvskommun",115+20,4,1231,3900000
11-Feb-2019,Sjöhed 310,"Kärna-Harestad,Kungälvskommun",103+81,5,1208,3700000
11-Feb-2019,Galärgatan 3,"Komarken,Kungälvskommun",108+65,4,628,4200000
8-Feb-2019,Bastövägen 4,"Överön-Kärna,Kungälvskommun",100+60,6,2786,4995000
7-Feb-2019,Furuvägen 1,"Diseröd,Kungälvskommun",108+32,5,742,2795000
7-Feb-2019,Prejelvägen 112,"Centrum,Kungälvskommun",142,5,382,5300000
4-Feb-2019,Hallsbrovägen  14,"Kärna,Kungälvskommun",145+61,6,2108,3700000
1-Feb-2019,Nämndemansvägen  12,"Ytterby,Kungälvskommun",152,6,680,3895000
1-Feb-2019,Lyckevägen 3,"Kärna,Kungälvskommun",120+72,5,2857,3770000
1-Feb-2019,Häradsvägen 24,"Ytterby,Kungälvskommun",130,5,342,3387500
30-Jan-2019,Backsippegatan  4,"Ytterby-Tornhaga,Kungälvskommun",115,5,577,3300000
30-Jan-2019,Rishammar 262,"Kareby,Kungälvskommun",186,6,5205,4550000
27-Jan-2019,Vitsippegatan 4,"Ytterby-Tornhaga,Kungälvskommun",189,8,626,4700000
24-Jan-2019,Galeasgatan 17,"Centrum,Kungälvskommun",189+100,6,574,5425000
22-Jan-2019,Vältvägen 509,"Ullstorp,Kungälvskommun",105,4,319,4550000
21-Jan-2019,Gategården 250,"Hålta,Kungälvskommun",140+26,5,1500,3990000
21-Jan-2019,Rondan 37,"Ödsmålsmosse/Rörtången,Kungälvskommun",80,4,1617,2850000
20-Jan-2019,Kantorvägen 3,"Diserödcentrum,Kungälvskommun",165+14,5,761,4100000
19-Jan-2019,Hemvägen  15,"Romelanda,Kungälvskommun",119+19,5,398,3550000
18-Jan-2019,Tvetgatan 43,"Tveten,Kungälvskommun",109,5,156,3450000
17-Jan-2019,Rörmossevägen  120,"Bohuslän,Kungälvskommun",170+81,5,4070,4575000
15-Jan-2019,Parkgatan 11,"Bohuslän,Kungälvskommun",260,9,513,6700000
11-Jan-2019,Kristiansborg 170,"Tjuvkil,Kungälvskommun",77+55,6,1295,3700000
8-Jan-2019,Vena 328,"Ytterby-Vena,Kungälvskommun",125,5,1520,4100000
3-Dec-2014,Skälebräckeliden 8,"Kungälv-Centrum,Kungälvskommun",125+85,8,1055,4250000
28-Nov-2014,Ängsgatan 19,"Centralt,Kungälvskommun",145+62,9,626,3160000
21-Nov-2014,Kullegatan 10,"Centralt,Kungälvskommun",113+51,7,543,3275000
20-Nov-2014,Tomt centrala Ytterby,"Ytterby,Kungälvskommun",156,7,600,1150000
20-Nov-2014,Nolby 170,"Kode,Kungälvskommun",203+55,6,7383,4100000
17-Nov-2014,Duvesjön 335,"Duvesjön,Kungälvskommun",121,5,1205,2750000
17-Nov-2014,Kulperödsvägen 10,"Kungälv-Hålta,Kungälvskommun",175+14,6,2341,3850000
16-Nov-2014,Häljeröd 300,"Kungälv-Romelanda,Kungälvskommun",223+25,7,5647,5000000
16-Nov-2014,Stenåldersgatan 52,"Ytterby,Kungälvskommun",117,4,345,3400000
14-Nov-2014,Rondan 8,"Ödsmålsmosse,Kungälvskommun",125+29,5,1106,2920000
12-Nov-2014,Älvliden 2,"Kungälv,Kungälvskommun",118+50,5,405,3450000
12-Nov-2014,Östergårdsgatan 23,"Ytterby,Kungälvskommun",180+48,6,840,3500000
9-Nov-2014,Duvesjön 217,"Duvesjön/Kungälv,Kungälvskommun",120+36,4,1091,3030000
31-Oct-2014,Dotorp 230,"Kärna,Kungälvskommun",64+42,3,986,1800000
28-Oct-2014,Munkegärdegatan 251,"Kungälv,Kungälvskommun",178+109,8,849,4325000
28-Oct-2014,Duvesjön 232,"Duvesjön,Kungälvskommun",122,5,1076,2780000
23-Oct-2014,Onyxvägen 23,"Kungälv,Kode,Kungälvskommun",155,7,514,2940000
20-Oct-2014,Västra Röd 180,"Kungälv-Harestad,Kungälvskommun",150,5,NaN,5200000
15-Oct-2014,Snäckvägen 3,"Ödsmålsmosse,Kungälvskommun",76+28,4,1213,2575000
13-Oct-2014,Tulpanvägen 1,"Kärna,Kungälvskommun",127+105,7,568,2225000
9-Oct-2014,Tegskiftegatan 50,"Tega,Kungälvskommun",112+57,5,856,3150000
7-Oct-2014,Gråstensvägen 26,"Kode,Kungälvskommun",191,6,1149,3720000
2-Oct-2014,Matskärsvägen 104,"Tjuvkil(norradelen)+Baracken,Kungälvskommun",134,5,996,4520000
26-Sep-2014,Idrottsgatan 26,"Marstrand,Koön,Kungälvskommun",130+20,5,565,4075000
25-Sep-2014,Åseby 350,"Kode,Kungälvskommun",169,8,1113,4850000
25-Sep-2014,Västra Röd 130,"Kärna-Harestad,Kungälvskommun",136+15,4,1170,3100000
25-Sep-2014,Skår 170,"Kärna,Kungälvskommun",90+101,6,1054,2500000
15-Sep-2014,Önneröd 140,"Kärna,Kungälvskommun",110+110,NaN,2439,2050000
10-Sep-2014,Hjälmgatan 1,"Ytterby-Stället,Kungälvskommun",96+8,3,444,2900000
9-Sep-2014,Prejelvägen 114,"Ullstorp,Kungälvskommun",122,5,366,3750000
9-Sep-2014,Långåkersgatan 11,"KungälvCentralt,Kungälvskommun",129+36,5,1136,4700000
8-Sep-2014,Gamla Torget 10,"KungälvGamlaStaden,Kungälvskommun",90+23,4,134,3200000
8-Sep-2014,Stenåldersgatan 18,"Ytterby-Stället,Kungälvskommun",103,4,297,3366500
2-Sep-2014,Norrmannebo 680,"Romelanda,Kungälvskommun",172+71,7,4202,1700000
31-Aug-2014,Vråkärrsvägen 8,"Kungälv,Kungälvskommun",48,3,847,1400000
28-Aug-2014,Annas Väg 14,"Kovikshamn,Kungälvskommun",90,4,1515,2450000
26-Aug-2014,Västerhöjdsvägen 18,"Kärna,Kungälvskommun",115+3,4,291,3100000
22-Aug-2014,Gategården 182,"Hålta,Kungälvskommun",240+50,8,1484,2975000
22-Aug-2014,Stenhålt 130,"Romelanda,Kungälvskommun",180,5,3824,3600000
20-Aug-2014,Västra Porten 28,"Ytterby,Kungälvskommun",120+16,3,954,3485000
13-Aug-2014,Rondan 22,"Ödsmålsmosse,Kungälvskommun",72+65,6,1258,1900000
8-Aug-2014,Duvesjön 338,"Kungälv-Romelanda,Kungälvskommun",115,4,1063,2795000
2-Jul-2014,Åsebyberg 725,"Åseby,Kungälvskommun",156,5,1101,3525000
30-Jun-2014,Hasselvägen 4,"Romelanda-Diseröd,Kungälvskommun",125+125,9,805,2300000
25-Jun-2014,Vävra 542,"Hålta,Kungälvskommun",109+15,5,1106,2750000
19-Jun-2014,Halleravägen 8B,"Kovikshamn,Kungälvskommun",150+30,7,3419,6050000
19-Jun-2014,Björkebacka 118,"Kareby,Kungälvskommun",145,5,2372,3200000
18-Jun-2014,Häljeröd 190,"Romelanda,Kungälvskommun",84+79,5,7965,2710000
18-Jun-2014,Hålta Annex 150,"Hålta,Kungälvskommun",32,2,1208,1000000
17-Jun-2014,Granndalen 14,"Lycke,Kungälvskommun",62,4,1229,2250000
4-Jan-2019,Bergkristallvägen 15,"Kode,Kungälvskommun",140,6,479,4330000
30-Dec-2018,Knaverstad-Ryr 590,"Aröd,Kungälvskommun",90,3,1007,3000000
28-Dec-2018,Prästvägen 676,"Romelanda,Kungälvskommun",222,5,1329,4150000
27-Dec-2018,Ranneberg  154,"Kärna,Kungälvskommun",165,4,2381,5200000
20-Dec-2018,Ranneberg 155,"Kärna,Kungälvskommun",155+42,NaN,2299,4500000
20-Dec-2018,Skålldal 140,"Bohuslän,Kungälvskommun",266+42,8,1036,4300000
19-Dec-2018,Mariedalsvägen 1,"Kode,Kungälvskommun",63,2,3432,1825000
19-Dec-2018,Mårdgatan 22,"KungälvCentralt,Kungälvskommun",158,6,940,5900000
18-Dec-2018,Enskiftegatan 5,"Ytterby,Kungälvskommun",194,7,884,4800000
18-Dec-2018,Kvarndalsvägen 8C,"Lökeberg,Kungälvskommun",155,5,1659,7050000
17-Dec-2018,Broberg 190,"Tjuvkil,Kungälvskommun",67,4,1755,2000000
16-Dec-2018,Källeröd 210,"Kareby,Kungälvskommun",121+159,5,2455,2550000
12-Dec-2018,Alelyckans väg 12,"Aröd,Kungälvskommun",154+12,6,1392,3950000
8-Dec-2018,Kristinedalsgatan 5,"Kungälv,Kungälvskommun",152+67,5,701,6650000
7-Dec-2018,Bollestad 152,"Ytterby,Kungälvskommun",169+74,7,1762,4500000
7-Dec-2018,Lingonvägen 41,"JordlidenMunkegärde,Kungälvskommun",115,5,399,4275000
3-Dec-2018,Häradsvägen 62,"Ytterby,Kungälvskommun",130,7,390,3800000
1-Dec-2018,Hammar 375,"Bohuslän,Kungälvskommun",98+65,6,2371,4630000
29-Nov-2018,Skogsvägen  20,"Ingetorp,Kungälvskommun",101,5,1318,2715000
29-Nov-2018,Harkeröd 310,"Hålta,Kungälvskommun",71+59,5,1245,3050000
28-Nov-2018,Prästbol 165,"Aröd,Kungälvskommun",171,6,2805,5700000
27-Nov-2018,Duvesjön 374,"Duvesjön,Kungälvskommun",110,4,1000,3590000
26-Nov-2018,Ulvebackegatan 28,"Bohuslän,Kungälvskommun",128+32,6,793,4750000
23-Nov-2018,Hammar 310,"Bohuslän,Kungälvskommun",124,5,1035,3200000
23-Nov-2018,Rostock 364,"Romelanda,Kungälvskommun","140,4",5,1148,5100000
23-Nov-2018,Stenåldersgatan 6,"Ytterby,Kungälvskommun",104,4,318,3725000
21-Nov-2018,Torp 310,"Kareby,Kungälvskommun",149+78,6,3051,4300000
21-Nov-2018,Tyftervägen 20,"Bohuslän,Kungälvskommun",154+13,5,572,4300000
20-Nov-2018,Harkvägen 357,"Ullstorp,Kungälvskommun",111,4,572,5000000
18-Nov-2018,Grindklykan 27,"Grinden,Kungälvskommun",112,4,546,4400000
18-Nov-2018,Häggvägen 10,"Ytterby,Kungälvskommun",101+101,5,851,4170000
18-Nov-2018,Hemmansgatan 11,"Tega,Kungälvskommun",133+11,5,756,3900000
14-Nov-2018,Komministergatan 3,"Kungälv-Centrum,Kungälvskommun",120+80,7,678,5950000
12-Nov-2018,Djupuddsvägen  30,"Instön,Kungälvskommun",135+15,3,1336,4800000
9-Nov-2018,Staby 130,"Kärna,Kungälvskommun",109+82,5,9529,4020000
9-Nov-2018,Munkegärdegatan 253,"Munkegärde,Kungälvskommun",134+110,7,899,5750000
9-Nov-2018,Rosenstensvägen 6,"Kode,Kungälvskommun",123,5,485,3700000
5-Nov-2018,Nerebyskogens väg 14,"Kärna-Harestad,Kungälvskommun",33,2,1821,1380000
1-Nov-2018,Bergåsvägen 22,"Ytterby,Kungälvskommun",153+40,7,710,4500000
30-Oct-2018,Nordängen 10,"Sundhammar,Kungälvskommun",174+16,5,1331,4900000
29-Oct-2018,Apelviksgatan 7,"Centrum,Kungälvskommun",125+125,5,445,4750000
29-Oct-2018,Ranneberg 170,"Romelanda,Kungälvskommun",90,4,1265,1960000
28-Oct-2018,Vesslegatan 3,"Olseröd,Kungälvskommun",131+12,4,376,4500000
26-Oct-2018,Bärnstensvägen 6,"Kode,Kungälvskommun",93+92,5,1009,3250000
26-Oct-2018,Solvagnsgatan 7,"Kungälv,Kungälvskommun",137+8,6,362,5175000
25-Oct-2018,Hallsbrovägen 3,"Bohuslän,Kungälvskommun",74,3,1801,2500000
24-Oct-2018,Tjäderstigen 8,"Centralt-Kungälv,Kungälvskommun",126,4,362,4300000
23-Oct-2018,Tegskiftegatan 50,"Ytterby,Kungälvskommun",112+57,5,856,4000000
22-Oct-2018,Fontinvägen 12,"Centralt-Kungälv,Kungälvskommun",231,9,1269,6600000
19-Oct-2018,Skårby station 355,"Kareby,Kungälvskommun",150,4,2260,4140000
16-Jun-2014,Vävra 540,"Bohuslän,Kungälvskommun",53,3,1863,2210000
15-Jun-2014,Krokens Väg 18,"Tjuvkil,Kungälvskommun",70,4,1530,2650000
11-Jun-2014,Kristinedalsgatan 6,"Centralt,Kungälvskommun",177+67,6,802,4250000
31-May-2014,Illekärr 170,"Kungälv-Romelanda,Kungälvskommun",152+80,6,6070,2720000
27-May-2014,Lagvägen 53,"Kungälv-Ytterby,Kungälvskommun",157+51,6,779,2950000
27-May-2014,Snäckvägen 9,"Ödsmålsmosse,Kungälvskommun",76,3,1562,2100000
22-May-2014,Matskärsvägen 102,"Tjuvkil,Kungälvskommun",71,3,1433,4550000
22-May-2014,Skårby Station 150,"Kareby,Kungälvskommun",97+50,4,3446,2020000
20-May-2014,Solberga 510,"Solberga-Kode,Kungälvskommun",98+58,5,1517,2215000
17-May-2014,Löstorp 130,"Kareby,Kungälvskommun",171+7,6,4580,4200000
14-May-2014,Torsby 130,"Kärna,Kungälvskommun",95,4,2538,2360000
10-May-2014,Åsleröd 110,"Ytterby,Kungälvskommun",57+57,3,975,1470000
8-May-2014,Tingsvägen 3,"Ytterby,Kungälvskommun",143,6,723,2570000
2-May-2014,Bremnäs 390,"Lycke,Kärna,Kungälvskommun",98,3,2770,2850000
30-Apr-2014,Ulvesund 412,"Ytterby-Ulvesund,Kungälvskommun",106,4,806,2800000
29-Apr-2014,Lundby 340,"Kareby,Kungälvskommun",147,6,1648,3200000
29-Apr-2014,Rådalsvägen 7,"Aröd,Kungälvskommun",60+31,5,1500,2500000
26-Apr-2014,Västerhöjdsvägen 26,"Kärna,Kungälvskommun",103,5,250,2900000
22-Apr-2014,Parken 110,"SolbergaKode,Kungälvskommun",157+100,5,4160,3950000
18-Apr-2014,Västra Brattön,"Brattön,Kungälvskommun",70,4,1377,4900000
16-Apr-2014,Kämpegatan 7,"Centralt,Kungälvskommun",121+103,6,899,3125000
15-Apr-2014,Skäggstorp 160,"Kode,Kungälvskommun",28,2,1257,600000
12-Apr-2014,Grokareby 110,"Kareby,Kungälvskommun",120+80,4,2367,2400000
6-Apr-2014,Fågelstigen 44,"Kungälv,Kungälvskommun",128,5,377,3275000
26-Mar-2014,Heden 190,"Kärna-Harestad,Kungälvskommun",74+45,4,2064,2482000
26-Mar-2014,Mantalsgatan 9,"Ytterby,Kungälvskommun",175+35,8,1105,3850000
25-Mar-2014,Granndalen 5,"Lycke,Kungälvskommun",91,4,1330,2095000
21-Mar-2014,Lundby 390,"Kareby,Kungälvskommun",180+115,NaN,5123,2595000
20-Mar-2014,Vältvägen 509,"Ullstorp,Kungälvskommun",105+10,4,319,3160000
18-Mar-2014,Matskärsvägen 98b,"Tjuvkil,Kungälvskommun",90,4,1012,3825000
13-Mar-2014,Topasvägen 11,"Kode,Kungälvskommun",103+95,6,742,2375000
12-Mar-2014,Gunneröd 170,"Lycke,Kungälvskommun",98,3,2301,2350000
11-Mar-2014,Häljeröd 550,"Kode,Kungälvskommun",135+35,4,3880,2530000
10-Mar-2014,Duvesjön 312,"Duvesjön,Kungälvskommun",119,5,1652,3100000
7-Mar-2014,Lagvägen 31,"Ytterby,Kungälvskommun",89+76,4,1330,2175000
5-Mar-2014,Helgonagatan 192,"Munkegärde,Kungälvskommun",93+21,5,191,2900000
4-Mar-2014,Högalidsgatan 5,"Centralt,Kungälvskommun",109+109,4,805,2820000
27-Feb-2014,Solhultsgatan 17,"Centralt,Kungälvskommun",189+15,8,481,2900000
20-Feb-2014,Gunneröd 270,"Lycke,Kungälvskommun",57+45,4,2646,1850000
13-Feb-2014,Lönnvägen 3,"Enekullen,Kungälvskommun",148,6,635,3100000
8-Feb-2014,Ulvesund 410,"Ytterby-Ulvesund,Kungälvskommun",77+25,5,795,2230000
3-Feb-2014,Ulvebackegatan 12,"Ulvegärde,Kungälvskommun",140+38,5,914,3625000
21-Jan-2014,Gårdskiftegatan 16,"Ytterby,Kungälvskommun",114,5,139,2083000
21-Jan-2014,Fridhemsgatan 9,"Centralt,Kungälvskommun",137+90,6,850,3525000
17-Jan-2014,Bärnstensvägen 6,"Kode,Kungälvskommun",93+92,4,1009,2275000
15-Jan-2014,Prejelvägen 110,"Ullstorp,Kungälvskommun",122+5,5,320,3230000
23-Dec-2013,Ulvesund 464,"Ytterby-Ulvesund,Kungälvskommun",63,2,743,1750000
16-Dec-2013,Hällristningsgatan 15,"Stället,Kungälvskommun",107+5,5,430,3300000
12-Dec-2013,Väktaregatan 5,"Centralt,Kungälvskommun",142+70,6,566,4850000
6-Dec-2013,Solskiftegatan 9,"Tega,Kungälvskommun",140+58,6,958,2850000
8-Apr-2016,Gunneröd 320,"Lycke,Kungälvskommun",145,5,1144,3150000
6-Apr-2016,Gårdskiftegatan 64,"Ytterby,Kungälvskommun",139+31,7,803,3200000
4-Apr-2016,Lahälla 610,"Skåra,Kungälvskommun",160+82,6,2098,5450000
